Elective_Outcomes_ID,Name,Knowledge_Unit,Learning_Aspect,Objective_Number
,Implement simple procedures that perform transformation and clipping operations on simple 2-dimensional images.,GV/Basic Rendering,[Usage],10
,"Implement a simple real-time renderer using a rasterization API (e.g., OpenGL) using vertex buffers and shaders.",GV/Basic Rendering,[Usage],11
,Compare and contrast the different rendering techniques.,GV/Basic Rendering,[Assessment],12
,Compute space requirements based on resolution and color coding.,GV/Basic Rendering,[Assessment],13
,"Compute time requirements based on refresh rates, rasterization techniques.",GV/Basic Rendering,[Assessment],14
,Represent curves and surfaces using both implicit and parametric forms.,GV/Geometric Modeling,[Usage],1
,Create simple polyhedral models by surface tessellation.,GV/Geometric Modeling,[Usage],2
,Generate a mesh representation from an implicit surface.,GV/Geometric Modeling,[Usage],3
,Generate a fractal model or terrain using a procedural method.,GV/Geometric Modeling,[Usage],4
,Generate a mesh from data points acquired with a laser scanner.,GV/Geometric Modeling,[Usage],5
,"Construct CSG models from simple primitives, such as cubes and quadric surfaces.",GV/Geometric Modeling,[Usage],6
,Contrast modeling approaches with respect to space and time complexity and quality of image.,GV/Geometric Modeling,[Assessment],7
,Demonstrate how an algorithm estimates a solution to the rendering equation.,GV/Advanced Rendering,[Assessment],1
,"Prove the properties of a rendering algorithm, e.g., complete, consistent, and unbiased.",GV/Advanced Rendering,[Assessment],2
,Analyze the bandwidth and computation demands of a simple algorithm.,GV/Advanced Rendering,[Assessment],3
,"Implement a non-trivial shading algorithm (e.g., toon shading, cascaded shadow maps) under a rasterization API.",GV/Advanced Rendering,[Usage],4
,Discuss how a particular artistic technique might be implemented in a renderer.,GV/Advanced Rendering,[Familiarity],5
,Explain how to recognize the graphics techniques used to create a particular image.,GV/Advanced Rendering,[Familiarity],6
,Implement any of the specified graphics techniques using a primitive graphics system at the individual pixel level.,GV/Advanced Rendering,[Usage],7
,"Implement a ray tracer for scenes using a simple (e.g., Phong model) BRDF plus reflection and refraction.",GV/Advanced Rendering,[Usage],8
,Compute the location and orientation of model parts using a forward kinematic approach.,GV/Computer Animation,[Usage],1
,Compute the orientation of articulated parts of a model from a location and orientation using an inverse kinematic approach.,GV/Computer Animation,[Usage],2
,Describe the tradeoffs in different representations of rotations.,GV/Computer Animation,[Assessment],3
,Implement the spline interpolation method for producing in-between positions and orientations.,GV/Computer Animation,[Usage],4
,"Implement algorithms for physical modeling of particle dynamics using simple Newtonian mechanics, for example Witkin & Kass, snakes and worms, symplectic Euler, Stormer/Verlet, or midpoint Euler methods.",GV/Computer Animation,[Usage],5
,"Discuss the basic ideas behind some methods for fluid dynamics for modeling ballistic trajectories, for example for splashes, dust, fire, or smoke.",GV/Computer Animation,[Familiarity],6
,Use common animation software to construct simple organic forms using metaball and skeleton.,GV/Computer Animation,[Usage],7
,Describe the basic algorithms for scalar and vector visualization.,GV/Visualization ,[Familiarity],1
,Describe the tradeoffs of visualization algorithms in terms of accuracy and performance.,GV/Visualization ,[Assessment],2
,Propose a suitable visualization design for a particular combination of data characteristics and application tasks.,GV/Visualization ,[Assessment],3
,Analyze the effectiveness of a given visualization for a particular task.,GV/Visualization ,[Assessment],4
,Design a process to evaluate the utility of a visualization algorithm or system.,GV/Visualization ,[Assessment],5
,"Recognize a variety of applications of visualization including representations of scientific, medical, and mathematical data; flow visualization; and spatial analysis.",GV/Visualization ,[Familiarity],6
,Explain the importance of Model-View controller to interface programming.,HCI/Programming Interactive Systems,[Familiarity],1
,Create an application with a modern graphical user interface.,HCI/Programming Interactive Systems,[Usage],2
,Identify commonalities and differences in UIs across different platforms.,HCI/Programming Interactive Systems,[Familiarity],3
,"Explain and use GUI programming concepts: event handling, constraint-based layout management, etc.",HCI/Programming Interactive Systems,[Familiarity],4
,Explain how user-centered design complements other software process models.,HCI/User-Centered Design and Testing,[Familiarity],1
,"Use lo-fi (low fidelity) prototyping techniques to gather, and report, user responses.",HCI/User-Centered Design and Testing,[Usage],2
,Choose appropriate methods to support the development of a specific UI.,HCI/User-Centered Design and Testing,[Assessment],3
,Use a variety of techniques to evaluate a given UI.,HCI/User-Centered Design and Testing,[Assessment],4
,Compare the constraints and benefits of different evaluative methods.,HCI/User-Centered Design and Testing,[Assessment],5
,Describe when non-mouse interfaces are appropriate.,HCI/New Interactive Technologies,[Familiarity],1
,Understand the interaction possibilities beyond mouse-and-pointer interfaces.,HCI/New Interactive Technologies,[Familiarity],2
,Discuss the advantages (and disadvantages) of non-mouse interfaces.,HCI/New Interactive Technologies,[Assessment],3
,Describe the difference between synchronous and asynchronous communication.,HCI/Collaboration and Communication,[Familiarity],1
,Compare the HCI issues in individual interaction with group interaction.,HCI/Collaboration and Communication,[Assessment],2
,Discuss several issues of social concern raised by collaborative software.,HCI/Collaboration and Communication,[Familiarity],3
,Discuss the HCI issues in software that embodies human intention.,HCI/Collaboration and Communication,[Familiarity],4
,Explain basic statistical concepts and their areas of application.,HCI/Statistical Methods for HCI,[Familiarity],1
,Extract and articulate the statistical arguments used in papers that quantitatively report user studies.,HCI/Statistical Methods for HCI,[Usage],2
,Design a user study that will yield quantitative results.,HCI/Statistical Methods for HCI,[Usage],3
,Conduct and report on a study that utilizes both qualitative and quantitative evaluation.,HCI/Statistical Methods for HCI,[Usage],4
,"ar phishing, and how to recognize them.",HCI/Human Factors and Security,[Familiarity],1
,Describe the issues of trust in interface design with an example of a high and low trust system.,HCI/Human Factors and Security,[Assessment],2
,Design a user interface for a security mechanism.,HCI/Human Factors and Security,[Assessment],3
,Explain the concept of identity management and its importance.,HCI/Human Factors and Security,[Familiarity],4
,"Analyze a security policy and/or procedures to show where they consider, or fail to consider, human factors.",HCI/Human Factors and Security,[Usage],5
,Explain what is meant by “HCI is a design-oriented discipline”.,HCI/Design-Oriented HCI,[Familiarity],1
,Detail the processes of design appropriate to specific design orientations.,HCI/Design-Oriented HCI,[Familiarity],2
,Apply a variety of design methods to a given problem.,HCI/Design-Oriented HCI,[Usage],3
,Describe the optical model realized by a computer graphics system to synthesize stereoscopic view.,"HCI/Mixed, Augmented and Virtual Reality",[Familiarity],1
,Describe the principles of different viewer tracking technologies.,"HCI/Mixed, Augmented and Virtual Reality",[Familiarity],2
,Describe the differences between geometry- and image-based virtual reality.,"HCI/Mixed, Augmented and Virtual Reality",[Familiarity],3
,Describe the issues of user action synchronization and data consistency in a networked environment.,"HCI/Mixed, Augmented and Virtual Reality",[Familiarity],4
,"Determine the basic requirements on interface, hardware, and software configurations of a VR system for a specified application.","HCI/Mixed, Augmented and Virtual Reality",[Usage],5
,"Describe several possible uses for games engines, including their potential and their limitations.","HCI/Mixed, Augmented and Virtual Reality",[Familiarity],6
,List examples of direct and indirect information flows.,IAS/Defensive Programming,[Familiarity],8
,"Explain the role of random numbers in security, beyond just cryptography (e.g. password generation, randomized algorithms to avoid algorithmic denial of service attacks).",IAS/Defensive Programming,[Familiarity],9
,Explain the different types of mechanisms for detecting and mitigating data sanitization errors.,IAS/Defensive Programming,[Familiarity],10
,Demonstrate how programs are tested for input handling errors.,IAS/Defensive Programming,[Usage],11
,Use static and dynamic tools to identify programming faults.,IAS/Defensive Programming,[Usage],12
,Describe how memory architecture is used to protect runtime attacks.,IAS/Defensive Programming,[Familiarity],13
,Describe risks to privacy and anonymity in commonly used applications.,IAS/Threats and Attacks,[Familiarity],5
,Discuss the concepts of covert channels and other data leakage procedures.,IAS/Threats and Attacks,[Familiarity],6
,Discuss security properties and limitations of other non-wired networks.,IAS/Network Security,[Familiarity],5
,Identify the additional threats faced by non-wired networks.,IAS/Network Security,[Familiarity],6
,Describe threats that can and cannot be protected against using secure communication channels.,IAS/Network Security,[Familiarity],7
,Summarize defenses against network censorship.,IAS/Network Security,[Familiarity],8
,Diagram a network for security.,IAS/Network Security,[Familiarity],9
,Use cryptographic primitives and describe their basic properties.,IAS/Cryptography,[Usage],5
,Illustrate how to measure entropy and how to generate cryptographic randomness.,IAS/Cryptography,[Usage],6
,Use public-key primitives and their applications.,IAS/Cryptography,[Usage],7
,Explain how key exchange protocols work and how they fail.,IAS/Cryptography,[Familiarity],8
,Discuss cryptographic protocols and their properties.,IAS/Cryptography,[Familiarity],9
,Describe real-world applications of cryptographic primitives and protocols.,IAS/Cryptography,[Familiarity],10
,"Summarize security definitions related to attacks on cryptographic primitives, including attacker capabilities and goals.",IAS/Cryptography,[Familiarity],11
,Apply appropriate known cryptographic techniques for a given scenario.,IAS/Cryptography,[Usage],12
,Appreciate the dangers of inventing one’s own cryptographic methods.,IAS/Cryptography,[Familiarity],13
,Describe quantum cryptography and the impact of quantum computing on cryptographic algorithms.,IAS/Cryptography,[Familiarity],14
,Describe the browser security model including same-origin policy and threat models in web security.,IAS/Web Security,[Familiarity],1
,"Discuss the concept of web sessions, secure communication channels such as TLS and importance of secure certificates, authentication including single sign-on such as OAuth and SAML.",IAS/Web Security,[Familiarity],2
,"Describe common types of vulnerabilities and attacks in web applications, and defenses against them.",IAS/Web Security,[Familiarity],3
,Use client-side security capabilities in an application.,IAS/Web Security,[Usage],4
,Explain the concept of code integrity and code signing and the scope it applies to.,IAS/Platform Security,[Familiarity],1
,Discuss the concept of root of trust and the process of secure boot and secure loading.,IAS/Platform Security,[Familiarity],2
,Describe the mechanism of remote attestation of system integrity.,IAS/Platform Security,[Familiarity],3
,Summarize the goals and key primitives of TPM.,IAS/Platform Security,[Familiarity],4
,Identify the threats of plugging peripherals into a device.,IAS/Platform Security,[Familiarity],5
,Identify physical attacks and countermeasures.,IAS/Platform Security,[Familiarity],6
,Identify attacks on non-PC hardware platforms.,IAS/Platform Security,[Familiarity],7
,Discuss the concept and importance of trusted path.,IAS/Platform Security,[Familiarity],8
,"Describe the concept of privacy including personally private information, potential violations of privacy due to security mechanisms, and describe how privacy protection mechanisms run in conflict with security mechanisms.",IAS/Security Policy and Governance,[Familiarity],1
,Describe how an attacker can infer a secret by interacting with a database.,IAS/Security Policy and Governance,[Familiarity],2
,Explain how to set a data backup policy or password refresh policy.,IAS/Security Policy and Governance,[Familiarity],3
,Discuss how to set a breach disclosure policy.,IAS/Security Policy and Governance,[Familiarity],4
,Describe the consequences of data retention policies.,IAS/Security Policy and Governance,[Familiarity],5
,Identify the risks of relying on outsourced manufacturing.,IAS/Security Policy and Governance,[Familiarity],6
,Identify the risks and benefits of outsourcing to the cloud.,IAS/Security Policy and Governance,[Familiarity],7
,"Describe what a digital investigation is, the sources of digital evidence, and the limitations of forensics.",IAS/Digital Forensics,[Familiarity],1
,Explain how to design software to support forensics.,IAS/Digital Forensics,[Familiarity],2
,Describe the legal requirements for use of seized data.,IAS/Digital Forensics,[Familiarity],3
,Describe the process of evidence seizure from the time when the requirement was identified to the disposition of the data.,IAS/Digital Forensics,[Familiarity],4
,Describe how data collection is accomplished and the proper storage of the original and forensics copy.,IAS/Digital Forensics,[Familiarity],5
,Conduct data collection on a hard drive.,IAS/Digital Forensics,[Usage],6
,Describe a person’s responsibility and liability while testifying as a forensics examiner.,IAS/Digital Forensics,[Familiarity],7
,Recover data based on a given search term from an imaged system.,IAS/Digital Forensics,[Usage],8
,Reconstruct application history from application artifacts.,IAS/Digital Forensics,[Usage],9
,Reconstruct web browsing history from web artifacts.,IAS/Digital Forensics,[Usage],10
,Capture and interpret network traffic.,IAS/Digital Forensics,[Usage],11
,Discuss the challenges associated with mobile device forensics.,IAS/Digital Forensics,[Familiarity],12
,"Inspect a system (network, computer, or application) for the presence of malware or malicious activity.",IAS/Digital Forensics,[Usage],13
,Apply forensics tools to investigate security breaches.,IAS/Digital Forensics,[Usage],14
,Identify anti-forensic methods.,IAS/Digital Forensics,[Familiarity],15
,Describe the requirements for integrating security into the software development lifecycle.,IAS/Secure Software Engineering,[Familiarity],1
,"Apply the concepts of the Design Principles for Protection Mechanisms, the Principles for Software Security [Viega, J. and McGraw, G. Building Secure Software: How to Avoid Security Problems the Right Way, Addison-Wesley, 2002.] and the Principles for Secure Design [Gasser, M. Building a Secure Computer System, Van Nostrand Reinhold, 1988.] on a software development project.",IAS/Secure Software Engineering,[Usage],2
,Develop specifications for a software development effort that fully specify functional requirements and identifies the expected execution paths.,IAS/Secure Software Engineering,[Usage],3
,Describe software development best practices for minimizing vulnerabilities in programming code.,IAS/Secure Software Engineering,[Familiarity],4
,Conduct a security verification and assessment (static and dynamic) of a software application.,IAS/Secure Software Engineering,[Usage],5
,Describe major approaches to storing and processing large volumes of data.,IM/Database Systems,[Familiarity],1
,Generate an index file for a collection of resources.,IM/Indexing,[Usage],1
,Explain the role of an inverted index in locating a document in a collection.,IM/Indexing,[Familiarity],2
,Explain how stemming and stop words affect indexing.,IM/Indexing,[Familiarity],3
,Identify appropriate indices for given relational schema and query set.,IM/Indexing,[Usage],4
,"Estimate time to retrieve information, when indices are used compared to when they are not used.",IM/Indexing,[Usage],5
,"Describe key challenges in web crawling, e.g., detecting duplicate documents, determining the crawling frontier.",IM/Indexing,[Familiarity],6
,Prepare a relational schema from a conceptual model developed using the entity- relationship model.,IM/Relational Databases,[Usage],1
,Explain and demonstrate the concepts of entity integrity constraint and referential integrity constraint (including definition of the concept of a foreign key).,IM/Relational Databases,[Usage],2
,"Demonstrate use of the relational algebra operations from mathematical set theory (union, intersection, difference, and Cartesian product) and the relational algebra operations developed specifically for relational databases (select (restrict), project, join, and division).",IM/Relational Databases,[Usage],3
,Write queries in the relational algebra.,IM/Relational Databases,[Usage],4
,Write queries in the tuple relational calculus.,IM/Relational Databases,[Usage],5
,Determine the functional dependency between two or more attributes that are a subset of a relation.,IM/Relational Databases,[Assessment],6
,"Connect constraints expressed as primary key and foreign key, with functional dependencies.",IM/Relational Databases,[Usage],7
,Compute the closure of a set of attributes under given functional dependencies.,IM/Relational Databases,[Usage],8
,Determine whether a set of attributes form a superkey and/or candidate key for a relation with given functional dependencies.,IM/Relational Databases,[Assessment],9
,"Evaluate a proposed decomposition, to say whether it has lossless-join and dependency-preservation.",IM/Relational Databases,[Assessment],10
,"Describe the properties of BCNF, PJNF, 5NF.",IM/Relational Databases,[Familiarity],11
,Explain the impact of normalization on the efficiency of database operations especially query optimization.,IM/Relational Databases,[Familiarity],12
,Describe what is a multi-valued dependency and what type of constraints it specifies.,IM/Relational Databases,[Familiarity],13
,"Create a relational database schema in SQL that incorporates key, entity integrity, and referential integrity constraints.",IM/Query Languages,[Usage],1
,Use SQL to create tables and retrieve (SELECT) information from a database.,IM/Query Languages,[Usage],2
,Evaluate a set of query processing strategies and select the optimal strategy.,IM/Query Languages,[Assessment],3
,Create a non-procedural query by filling in templates of relations to construct an example of the desired query result.,IM/Query Languages,[Usage],4
,"Embed object-oriented queries into a stand-alone language such as C++ or Java (e.g., SELECT Col.Method() FROM Object).",IM/Query Languages,[Usage],5
,"Write a stored procedure that deals with parameters and has some control flow, to provide a given functionality.",IM/Query Languages,[Usage],6
,Create a transaction by embedding SQL into an application program.,IM/Transaction Processing,[Usage],1
,Explain the concept of implicit commits.,IM/Transaction Processing,[Familiarity],2
,Describe the issues specific to efficient transaction execution.,IM/Transaction Processing,[Familiarity],3
,Explain when and why rollback is needed and how logging assures proper rollback.,IM/Transaction Processing,[Assessment],4
,Explain the effect of different isolation levels on the concurrency control mechanisms.,IM/Transaction Processing,[Assessment],5
,Choose the proper isolation level for implementing a specified transaction protocol.,IM/Transaction Processing,[Assessment],6
,Identify appropriate transaction boundaries in application programs.,IM/Transaction Processing,[Assessment],7
,"Explain the techniques used for data fragmentation, replication, and allocation during the distributed database design process.",IM/Distributed Databases,[Familiarity],1
,Evaluate simple strategies for executing a distributed query to select the strategy that minimizes the amount of data transfer.,IM/Distributed Databases,[Assessment],2
,Explain how the two-phase commit protocol is used to deal with committing a transaction that accesses databases stored on multiple nodes.,IM/Distributed Databases,[Familiarity],3
,Describe distributed concurrency control based on the distinguished copy techniques and the voting method.,IM/Distributed Databases,[Familiarity],4
,Describe the three levels of software in the client-server model.,IM/Distributed Databases,[Familiarity],5
,"Explain the concepts of records, record types, and files, as well as the different techniques for placing file records on disk.",IM/Physical Database Design,[Familiarity],1
,"Give examples of the application of primary, secondary, and clustering indexes.",IM/Physical Database Design,[Familiarity],2
,Distinguish between a non-dense index and a dense index.,IM/Physical Database Design,[Assessment],3
,Implement dynamic multilevel indexes using B-trees.,IM/Physical Database Design,[Usage],4
,Explain the theory and application of internal and external hashing techniques.,IM/Physical Database Design,[Familiarity],5
,Use hashing to facilitate dynamic file expansion.,IM/Physical Database Design,[Usage],6
,"Describe the relationships among hashing, compression, and efficient database searches.",IM/Physical Database Design,[Familiarity],7
,Evaluate costs and benefits of various hashing schemes.,IM/Physical Database Design,[Assessment],8
,Explain how physical database design affects database transaction efficiency.,IM/Physical Database Design,[Familiarity],9
,Compare and contrast different uses of data mining as evidenced in both research and application.,IM/Data Mining,[Assessment],1
,Explain the value of finding associations in market basket data.,IM/Data Mining,[Familiarity],2
,Characterize the kinds of patterns that can be discovered by association rule mining.,IM/Data Mining,[Assessment],3
,Describe how to extend a relational system to find patterns using association rules.,IM/Data Mining,[Familiarity],4
,Evaluate different methodologies for effective application of data mining.,IM/Data Mining,[Assessment],5
,"Identify and characterize sources of noise, redundancy, and outliers in presented data.",IM/Data Mining,[Assessment],6
,"Identify mechanisms (on-line aggregation, anytime behavior, interactive visualization) to close the loop in the data mining process.",IM/Data Mining,[Familiarity],7
,Describe why the various close-the-loop processes improve the effectiveness of data mining.,IM/Data Mining,[Familiarity],8
,Explain basic information storage and retrieval concepts.,IM/Information Storage and Retrieval,[Familiarity],1
,Describe what issues are specific to efficient information retrieval.,IM/Information Storage and Retrieval,[Familiarity],2
,Give applications of alternative search strategies and explain why the particular search strategy is appropriate for the application.,IM/Information Storage and Retrieval,[Assessment],3
,"Design and implement a small to medium size information storage and retrieval system, or digital library.",IM/Information Storage and Retrieval,[Usage],4
,Describe some of the technical solutions to the problems related to archiving and preserving information in a digital library.,IM/Information Storage and Retrieval,[Familiarity],5
,Describe the media and supporting devices commonly associated with multimedia information and systems.,IM/Multimedia Systems,[Familiarity],1
,Demonstrate the use of content-based information analysis in a multimedia information system.,IM/Multimedia Systems,[Usage],2
,"Critique multimedia presentations in terms of their appropriate use of audio, video, graphics, color, and other information presentation concepts.",IM/Multimedia Systems,[Assessment],3
,Implement a multimedia application using an authoring system.,IM/Multimedia Systems,[Usage],4
,"For each of several media or multimedia standards, describe in non-technical language what the standard calls for, and explain how aspects of human perception might be sensitive to the limitations of that standard.",IM/Multimedia Systems,[Familiarity],5
,Describe the characteristics of a computer system (including identification of support tools and appropriate standards) that has to host the implementation of one of a range of possible multimedia applications.,IM/Multimedia Systems,[Familiarity],6
,Design and implement a genetic algorithm solution to a problem.,IS/Advanced Search,[Usage],1
,Design and implement a simulated annealing schedule to avoid local minima in a problem.,IS/Advanced Search,[Usage],2
,Design and implement A*/beam search to solve a problem.,IS/Advanced Search,[Usage],3
,Apply minimax search with alpha-beta pruning to prune search space in a two-player game.,IS/Advanced Search,[Usage],4
,Compare and contrast genetic algorithms with classic search techniques.,IS/Advanced Search,[Assessment],5
,Compare and contrast various heuristic searches vis-a-vis applicability to a given problem.,IS/Advanced Search,[Assessment],6
,"Compare and contrast the most common models used for structured knowledge representation, highlighting their strengths and weaknesses.",IS/Advanced Representation and Reasoning,[Assessment],1
,Identify the components of non-monotonic reasoning and its usefulness as a representational mechanism for belief systems.,IS/Advanced Representation and Reasoning,[Familiarity],2
,Compare and contrast the basic techniques for representing uncertainty.,IS/Advanced Representation and Reasoning,[Assessment],3
